Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Aviakassir,Owl Tourism,"Bakı, Fətəli Xan Xoyski 166B",Tam-ştat,Turizm və mehmanxana işi,700 - 800 AZN,14 aprel 2025,14 may 2025,https://www.hellojob.az/vakansiya/aviakassir-905115,https://www.hellojob.az/resized/companies/e2hmQk1WUuEKsS4vhFThvCzDDZPF9GQfZ5nJxzBA-120--resize.webp,Bakı,700.0,800.0,750.0
Satış mütəxəssisi,SCENTPRO MMC,Bakı,Tam-ştat,Digər,600 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-1137743,https://www.hellojob.az/resized/companies/10ac3b2bfdd9471bebfa2059b645d7d2-120--resize.webp,Bakı,600.0,600.0,600.0
Mühafizəçi,"""Lion Security"" MMC","Bakı, Qaradağ Sahil qəsəbəsi",Tam-ştat,Mühafizə xidməti,500 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/muhafizeci-1136801,Unknown,Bakı,500.0,500.0,500.0
Satış təmsilçisi,Emsan,Bakı,Tam-ştat,Satış üzrə mütəxəssis,400 - 1200 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/satis-temsilcisi-1136040,https://www.hellojob.az/resized/companies/6a12599fea40b59711160fd606afea09-120--resize.webp,Bakı,400.0,1200.0,800.0
Qeydiyyatçı,EDUGrata Təhsil Mərkəzi,"Bakı, Ünvan: ▪️Ramana filialı üçün adress: Ramana qəsəbəsi, Akasiya şadlıq sarayının yanı  ▪️Onlayn şöbə və Nərimanov filialı üçün adress: Nərimanov filialı - Nərimanov metrosu, Qədir Xum restoranın yanı, Nazim Hacıyev 36.",Tam-ştat,Xüsusi təhsil/ Təlim,Razılaşma ilə,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/qeydiyyatci-1135279,https://www.hellojob.az/resized/companies/7986870344ee9df117a7f1606eb48760-120--resize.webp,Bakı,Unknown,Unknown,Unknown
İşə qəbul üzrə mütəxəssis,ABV,Bakı,Təcrübəçi,İnsan resursları,Razılaşma ilə,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/ise-qebul-uzre-mutexessis-1134328,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Kosmetik-estetist,Empire by Asthetik Lab,"Bakı, Rövşən Əliyev 19 (Xətai m\s )",Tam-ştat,Tibbi personal,600 - 700 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/kosmetoloq-1133566,Unknown,Bakı,600.0,700.0,650.0
SPA operator,Premium Park Otel,"Bakı, Nəsimi rayonu,Kövkəb xanım Səfərəliyeva 26",Tam-ştat,Menecer,800 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/spa-operator-1134137,Unknown,Bakı,800.0,800.0,800.0
Satış məsləhətçisi,Trend İmpuls,Bakı,Tam-ştat,Rəqəmsal marketinq,500 - 2000 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-1132803,https://www.hellojob.az/resized/companies/959cdac26e46301e04b14975da257d8d-120--resize.webp,Bakı,500.0,2000.0,1250.0
Direktor assistenti,"""Uğur R Nəqliyyat"" MMC","Xırdalan, Xırdalan şəhəri H.Z.Tağıyev 13",Tam-ştat,Ofis menecmenti,Razılaşma ilə,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/direktor-assistenti-1131275,Unknown,Xırdalan,Unknown,Unknown,Unknown
